seq,gubun,confCase,confCaseRate,death,deathRate,criticalRate,createDt,updateDt
22861,0-9,3061098,10.2,37.0,0.1,0.00,2023-01-19 00:21:59.0,null
22860,10-19,3743925,12.5,20.0,0.1,0.00,2023-01-19 00:21:59.0,null
22859,20-29,4360900,14.6,78.0,0.2,0.00,2023-01-19 00:21:59.0,null
22858,30-39,4375308,14.6,152.0,0.5,0.00,2023-01-19 00:21:59.0,null
22857,40-49,4563317,15.2,449.0,1.4,0.01,2023-01-19 00:21:59.0,null
22856,50-59,3904007,13.0,1355.0,4.1,0.03,2023-01-19 00:21:59.0,null
22855,60-69,3255917,10.9,3760.0,11.4,0.12,2023-01-19 00:21:59.0,null
22854,70-79,1658042,5.5,7499.0,22.7,0.45,2023-01-19 00:21:59.0,null
22853,80 이상,1005444,3.4,19754.0,59.7,1.96,2023-01-19 00:21:59.0,null
22852,여성,16054424,53.6,16855.0,50.9,0.10,2023-01-19 00:21:59.0,null
22851,남성,13873534,46.4,16249.0,49.1,0.12,2023-01-19 00:21:59.0,null
22839,0-9,3059405,10.23,37.0,0.11,0,2023-01-18 05:59:48.0,null
22838,10-19,3741693,12.51,20.0,0.06,0,2023-01-18 05:59:48.0,null
22837,20-29,4356621,14.57,78.0,0.24,0,2023-01-18 05:59:48.0,null
22836,30-39,4370737,14.62,152.0,0.46,0,2023-01-18 05:59:48.0,null
22835,40-49,4558890,15.25,449.0,1.36,0.01,2023-01-18 05:59:48.0,null
22834,50-59,3899603,13.04,1351.0,4.09,0.03,2023-01-18 05:59:48.0,null
22833,60-69,3251700,10.88,3752.0,11.35,0.12,2023-01-18 05:59:48.0,null
22832,70-79,1655604,5.54,7491.0,22.66,0.45,2023-01-18 05:59:48.0,null
22831,80 이상,1003889,3.36,19727.0,59.68,1.97,2023-01-18 05:59:48.0,null
22830,여성,16037751,53.64,16840.0,50.94,0.11,2023-01-18 05:59:48.0,null
22829,남성,13860391,46.36,16217.0,49.06,0.12,2023-01-18 05:59:48.0,null
22828,0-9,3057496,10.24,37.0,0.11,0.00,2023-01-17 03:56:19.0,null
22827,10-19,3739141,12.52,20.0,0.06,0.00,2023-01-17 03:56:19.0,null
