code,name
90452,가계부
53471,건강요리
53489,결혼/가족
53476,나라별 요리
53474,다이어트 요리
53478,도시락
53480,디저트
53485,뜨개질/바느질/DIY
53473,사찰요리
53484,살림/정리수납
53479,샐러드/샌드위치
53472,생활요리
53482,술/음료/차
53487,원예/조경/텃밭
53483,음식 이야기
53477,이유식
53475,전문가/연예인/블로거 요리
53481,제과제빵
53486,집/인테리어
53488,패션/뷰티
53516,건강운동
53521,건강정보
53522,걷기/육상스포츠
53524,골프
53532,공예
161753,글씨 쓰기
147647,스티커북
114987,컬러링북
53525,구기
53528,낚시
53514,다이어트
53520,대체의학
53529,등산/캠핑
53526,무예/무술
53530,바둑/장기
53534,반려동물
53523,수영/수상스포츠
53527,스포츠/레저 기타
53533,원예
140262,재난/생존/서바이벌
53517,정신건강
53518,질병치료와 예방
53535,취미기타
53531,퍼즐/스도쿠/퀴즈
53519,한의학
53515,헬스/피트니스
3057,경제학/경제일반
2172,기업 경영
2028,기업/경영자 스토리
261,마케팅/세일즈
172,재테크/투자
177,창업/취업/은퇴
3049,CEO/비즈니스맨을 위한 능력계발
2330,경제학고전
4527,고사성어/속담
2094,고전에서배운다
2344,과학고전
2310,군사고전
2095,다시쓴고전
2123,동양고전문학
2124,동양고전사상
2125,서양고전문학
2126,서양고전사상
2121,우리나라 옛글
7459,위대한 작가들
51002,기초과학/교양과학
51005,과학의 이해
51007,과학사회학(STS)
51010,과학자의 생애
51013,뇌과학
51015,생명과학
51017,인체의 이해
51272,의학
51275,법의학
51022,동물과 식물
51024,물리학
51027,천문학
51030,지구과학
51033,수학
51035,화학
51038,공학
51039,세계의 불가사의
51043,발명/발견
51045,농업
188411,2022년 가계부
186602,2022년 다이어리
186000,2022년 달력
173152,2021년 가계부
173153,2021년 다이어리
174904,2021년 달력
8981,영어로 쓰인 한국서적
6653,오디오북
167572,출판사 제작 상품
184996,큰글자책
8261,경상계열
8262,공학계열
8263,농축산생명계열
8264,법학계열
8265,사범계열
8259,사회과학계열
8267,생활환경계열
8266,어문학계열
8725,연감
8269,예체능계열
8268,의약학간호계열
8258,인문계열
8260,자연과학계열
8724,전문사전
164281,한국방송통신대학교
69397,캐릭터상품
4668,교양만화
36192,그래픽노블
3751,대하/서사만화
3726,만화그리기와 읽기
3728,본격장르만화
2562,성인/성애만화
3727,소년만화
3741,순정만화
2561,스포츠만화
3936,동물만화
3949,유럽/서구만화
3750,요리만화
3749,직장인만화
3747,가족만화
3748,논픽션/휴먼만화
9680,인디만화
7443,인터넷 연재 만화
2552,코믹/명랑만화
134823,19금
50992,비평/칼럼
50995,사회문제
50997,환경/생태문제
50999,교육학
51001,사회운동
51004,사회사상/사회사상사
51008,미래학
51011,지리학/지정학
51016,정치학/외교학/행정학
51021,한국정치사정/정치사
51026,사회학
51037,여성학/젠더
51041,언론/미디어
51046,법과 생활
51048,통일/북한관계
51050,국방/군사학
51052,계간지/무크
50917,한국소설
50918,일본소설
50919,영미소설
50920,스페인/중남미소설
50921,프랑스소설
50922,독일소설
50923,중국소설
52650,러시아소설
50925,세계의 소설
50926,추리/미스터리소설
50927,라이트 노벨
50928,판타지/환상문학
50929,역사소설
50930,과학소설(SF)
50931,호러.공포소설
50932,무협소설
50933,액션/스릴러소설
50935,로맨스소설
50940,시
50942,신춘문예작품집
50943,우리나라 옛글
50945,문학의 이해
50948,희곡
50951,문학 잡지
51252,여성문학
50953,테마문학
50955,세계의 문학
51371,한국에세이
51373,외국에세이
174700,동물에세이
51374,명상에세이
51375,심리치유 에세이
51376,사진/그림 에세이
180236,음식에세이
51377,여행에세이
51380,독서에세이
51842,예술에세이
51389,종교에세이
51391,사랑/연애 에세이
51392,노년을 위한 에세이
51394,자연에세이
51398,명언/잠언록
51402,일기/편지
51404,유머/풍자/우화
51408,포켓에세이
51413,작은 이야기 모음
51416,명사에세이
178951,국가기술자격
178952,국가전문자격
182299,귀화시험
178953,민간자격
34582,공무원 수험서
34894,한국사능력검정시험
34704,취업/상식/적성
34690,공인중개사/주택관리사
34921,운전면허
117990,한자시험
34895,한국어능력검정시험
35777,컴퓨터 활용능력
34705,편입/검정고시/독학사
36562,매경 TEST
34942,TESAT
34723,LEET:법학적성시험
34724,MEET&DEET&PEET
34700,인문/사회/법(고등고시)
34725,PSAT (행정고시)
182841,역량평가
140176,7/9급 공무원
140194,8급 공무원
34608,경찰공무원(승진)
34927,소방공무원(승진)
34605,군무원/부사관
36286,기술직
140198,기능직
34640,기능직 일반직 전환
34591,공무원 면접/수기
34697,교원임용시험
48904,초등 한국사
48803,초등1~2학년
48804,초등3~4학년
48805,초등5~6학년
